Variable,OLS Coeff,OLS t-stat,Significant,GWR Mean,GWR Median,GWR Std,GWR Min,GWR Max,% Positive,% Negative
elevation,-0.144255,-5.9852,Yes,-3.954467,0.000000,84.165092,-1674.054676,1055.143350,21.0,25.3
slope,-0.016807,-1.1268,No,-0.416132,0.000000,20.471729,-264.935847,240.034032,23.9,22.4
dist_rivers,-0.028959,-2.3989,Yes,0.917850,0.000000,8.283960,-112.410007,92.780201,26.7,19.7
dist_roads,0.072558,5.1698,Yes,8.288884,0.000000,214.896317,-2199.164929,5335.677682,21.4,24.9
dist_urban,0.047949,4.0862,Yes,-6.150708,0.000000,125.946006,-3114.962492,1302.429633,23.3,23.0
pop_density,0.010872,1.1326,No,-1.699534,0.000000,75.806852,-861.007232,749.704426,23.6,22.7
precip_annual,-0.042328,-3.0430,Yes,-0.439977,0.000000,12.051008,-226.749614,138.586206,21.0,25.3
lst_mean,-0.131825,-5.1369,Yes,-0.349741,0.000000,5.955286,-61.480278,97.781477,19.3,27.0
clay_content,-0.025263,-2.4430,Yes,0.012954,0.000000,1.029752,-10.132931,11.875249,23.2,23.2
