Class,T1 (2013) (ha),T2 (2016) (ha),T3 (2020) (ha),T4 (2024) (ha),Net Change (ha),Change (%)
Dense forest,"740,642","720,067","612,924","449,476","-291,165",-39.3
Secondary forest,"510,575","662,283","591,618","657,114","146,539",28.7
Pastures,"1,026,478","941,400","1,086,173","1,292,644","266,166",25.9
Crops,0,0,0,0,0,0.0
Water,"467,288","463,157","464,598","464,064","-3,224",-0.7
Urban,"385,035","366,799","346,496","252,432","-132,603",-34.4
Bare soil,0,0,0,0,0,0.0
Mangroves,"78,770","85,812","141,736","127,815","49,046",62.3
